"Study ID","Author, Year (Study level)","Study Class","Study Publication Year","Treatment Focus (Study level)","Treatment Focus (Arm level)","Treatment Focus Subclass (Arm level)","Total N Randomized","Intervention Group","Arm N Randomized","Arm N Randomized Detail","Treatment Name","Standardized Treatment Name","Treatment Description","Psychotherapy","Psychotherapy Subclass","Pharmacotherapy","Pharmacotherapy Subclass","CIH","CIH Subclass","Nonpharmacologic Biologic","Nonpharmacologic Cognitive","Control","Other Study Class","Collaborative Care","Format","Delivery Method","Dose","Session Length","Frequency","Treatment Duration","Treatment Duration Detail","Completed Treatment Definition","Completed Treatment Percent","Completed Treatment Percent Detail","Participant Adherence Definition","Participants Adhered Percent","Participants Adhered Percent Detail","Psychotherapy Sessions Completed Mean","Psychotherapy Sessions Completed Standard deviation","Psychotherapy Sessions Completed Detail","Dose at Study End Point Mean","Dose at Study End Point Standard deviation","Dose at Study End Point Detail","Race/Ethnicity Reported (Study level)","Military Status (Study level)","Female Percent (Study level)","Trauma Type (Study level)","Trauma Detail (Study level)","Risk of Bias Rating (Study level)","Citation","PTSDpubs ID","Year Added to PTSD Repository"
"leong2020_A","leong2020","Nonpharmacologic biological","2020","PTSD","PTSD",,"31","A","11",,"Low-frequency repetitive transcranial magnetic stimulation (rTMS)","Transcranial magnetic stimulation (TMS)","One-Hz rTMS with 2,250 pulses over 37.5 minutes, targeting the right dorsolateral prefrontal cortex (DLPFC) using Magstim Super Rapid2 model 3910-00 device","No",,"No",,"No",,"Yes","No","No","No","No","Individual","In Person","Intensity: 1 Hz for 37.5 minutes",,"Daily on weekdays","2",,"Treatment completion",,"""double-blind phase completers analyzed"" in flow diagram (double-blind phase is 2 weeks of daily treatments, 10 total), participants randomized minus discontinued intervention",,,,,,,,,,"Not reported","Community","82.76%","Mixed","Rape/sexual assault; Other (exposure to actual or threatened death or serious injury, and witnessing such incidents)","Some Concerns","Leong K, Chan P, Ong L, et al. A aandomized sham-controlled trial of 1-Hz and 10-Hz repetitive transcranial magnetic stimulation (rTMS) of the right dorsolateral prefrontal cortex in civilian post-traumatic stress disorder. Can J Psychiatry. 2020 Nov;65(11):770-8. doi: 10.1177/0706743720923064. PMID: 32379487.","1576966","2020"
"leong2020_B","leong2020","Nonpharmacologic biological","2020","PTSD","PTSD",,"31","B","10",,"High-frequency rTMS","Transcranial magnetic stimulation (TMS)","10-Hz rTMS with 3,000 pulses over 37.5 minutes, targeting the right DLPFC using Magstim Super Rapid2 model 3910-00 device","No",,"No",,"No",,"Yes","No","No","No","No","Individual","In Person","Intensity: 10 Hz for 37.5 minutes",,"Daily on weekdays","2",,"Treatment completion",,"""double-blind phase completers analyzed"" in flow diagram (double-blind phase is 2 weeks of daily treatments, 10 total), participants randomized minus discontinued intervention",,,,,,,,,,"Not reported","Community","82.76%","Mixed","Rape/sexual assault; Other (exposure to actual or threatened death or serious injury, and witnessing such incidents)","Some Concerns","Leong K, Chan P, Ong L, et al. A aandomized sham-controlled trial of 1-Hz and 10-Hz repetitive transcranial magnetic stimulation (rTMS) of the right dorsolateral prefrontal cortex in civilian post-traumatic stress disorder. Can J Psychiatry. 2020 Nov;65(11):770-8. doi: 10.1177/0706743720923064. PMID: 32379487.","1576966","2020"
"leong2020_C","leong2020","Nonpharmacologic biological","2020","PTSD","Inactive Control",,"31","C","10",,"Sham rTMS","Sham","Sham rTMS with either 1-Hz or 10-Hz sham stimulation using a Magstim D70 model 3950-00 device, identical in appearance and producing a similar sound and vibration as the active coil, targeting the right DLPFC","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person","Intensity: Sham 1 or 10 Hz for 37.5 minutes",,"Daily on weekdays","2",,"Treatment completion",,"""double-blind phase completers analyzed"" in flow diagram (double-blind phase is 2 weeks of daily treatments, 10 total), participants randomized minus discontinued intervention",,,,,,,,,,"Not reported","Community","82.76%","Mixed","Rape/sexual assault; Other (exposure to actual or threatened death or serious injury, and witnessing such incidents)","Some Concerns","Leong K, Chan P, Ong L, et al. A aandomized sham-controlled trial of 1-Hz and 10-Hz repetitive transcranial magnetic stimulation (rTMS) of the right dorsolateral prefrontal cortex in civilian post-traumatic stress disorder. Can J Psychiatry. 2020 Nov;65(11):770-8. doi: 10.1177/0706743720923064. PMID: 32379487.","1576966","2020"
"lewis2017_A","lewis2017","Other study class","2017","PTSD","PTSD",,"42","A","21",,"Internet-based guided self-help","Internet-based facilitated self-help","Interactive online program and therapist guidance. Online program consisted of 8 modules covering psychoeducation, grounding, relaxation and anxiety management, behavioral reactivation, imaginal and in-vivo exposure, cognitive therapy, and relapse prevention. Therapist guidance (face-to-face or telephone) for support, monitoring, motivation, and problem-solving; brief check-ins between appointments.","No",,"No",,"No",,"No","No","No","Yes","No","Individual","Technology assisted",,"Session length: therapist 30 minutes (initial appointment 1 hour)","Therapist guidance every 2 weeks, brief check-in weekly","8",,"completed all 8 modules",,,,,,,,,,,,"Not reported","Community","59.5%","Mixed","accidents, illness/medical procedure, rape/sexual assault, terrorism/political violence/forced displacement, community/school violence","Some Concerns","Lewis CE, Farewell D, Groves V, et al. Internet-based guided self-help for posttraumatic stress disorder (PTSD): randomized controlled trial. Depress Anxiety. 2017 Jun;34(6):555-65. doi: 10.1002/da.22645. PMID: 28557299.","48301","2019"
"lewis2017_B","lewis2017","Other study class","2017","PTSD","Inactive Control",,"42","B","21",,"Delayed treatment","Waitlist","Waiting period during which there was no therapist contact","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"8",,,,,,,,,,,,,,"Not reported","Community","59.5%","Mixed","accidents, illness/medical procedure, rape/sexual assault, terrorism/political violence/forced displacement, community/school violence","Some Concerns","Lewis CE, Farewell D, Groves V, et al. Internet-based guided self-help for posttraumatic stress disorder (PTSD): randomized controlled trial. Depress Anxiety. 2017 Jun;34(6):555-65. doi: 10.1002/da.22645. PMID: 28557299.","48301","2019"
"li2017_A","li2017","Pharmacotherapy","2017","PTSD","PTSD",,"72","A","36",,"Sertraline","Sertraline","SSRI, fixed-dose","No",,"Yes","Antidepressant: SSRI","No",,"No","No","No","No","No","Individual","In Person","135 mg",,"Daily","12",,,,,,,,,,,,,,"Race data reported","Mixed","12.5%","Mixed","combat-related, other (chemical burn)","Low","Li W, Ma YB, Yang Q, et al. Effect and safety of sertraline for treat posttraumatic stress disorder: a multicenter randomised controlled study. Int. J. Psychiatry Clin. Pract. 2017 Jun;21(2):151-5. doi: 10.1080/13651501.2017.1291838. PMID: 28266242.","49934","2019"
"li2017_B","li2017","Pharmacotherapy","2017","PTSD","Inactive Control",,"72","B","36",,"Placebo","Placebo","Placebo matched to sertraline (3 tablets)","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Daily","12",,,,,,,,,,,,,,"Race data reported","Mixed","12.5%","Mixed","combat-related, other (chemical burn)","Low","Li W, Ma YB, Yang Q, et al. Effect and safety of sertraline for treat posttraumatic stress disorder: a multicenter randomised controlled study. Int. J. Psychiatry Clin. Pract. 2017 Jun;21(2):151-5. doi: 10.1080/13651501.2017.1291838. PMID: 28266242.","49934","2019"
"lian2024_A","lian2024","Psychotherapy","2024","PTSD","PTSD",,"30","A","15",,"Schema therapy","Schema therapy","Schema therapy adapted for Malaysian context. ""Schema therapy is an integrative psychotherapy which combines different aspects of cognitive-behavioural, experiential, interpersonal and psychoanalytic therapies.""  Developed as treatment for borderline personality disorder. Begins with gentle approaches and progresses to confrontational approaches depending on patient's readiness. Features include a strong emphasis on the therapeutic relationship, a focus on experiential techniques, and schema theory with ""early maladaptive schema"" and ""schema modes"" (""predominant emotional states and coping responses that occur when trauma is triggered""). Therapy for this trial was adapted for Malaysian context, by incorporating art therapy, dream work, and psychodynamic techiques.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes","Weekly","16","16 sessions total","Treatment completion",,"No dropouts during study period",,,,,,,,,,,"Community","100%","Mixed","Rape/sexual assault; Other (""childhood trauma"", ""relational trauma"", ""work-related trauma"", ""school-related trauma"")","Some Concerns","Lian AEZ, Chooi W-T, Bono SA. The development and the effectiveness of schema therapy on eMalaysian female young adults who experienced continuous trauma and post-traumatic stress disorder. European Journal of Trauma & Dissociation Vol 8(3), 2024, ArtID 100427. 2024 Sep;8(3). doi: 10.1016/j.ejtd.2024.100427.","1640928","2025"
"lian2024_B","lian2024","Psychotherapy","2024","PTSD","Active Control",,"30","B","15",,"Trauma-focused CBT","Trauma-focused cognitive behavioral therapy (TF-CBT)","CBT with a focus on PTSD symptoms such as ""replacing maladaptive trauma-related cognitions and trauma-related behaviours with more adaptive cognitions and behaviours"". Incorporates ""psychoeducation, relaxation skills, cognitive coping strategies such as cognitive restructuring, and exposure therapy"".","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"60 minutes","Weekly","16","16 sessions total","Treatment completion",,"1 dropout during study period",,,,,,,,,,,"Community","100%","Mixed","Rape/sexual assault; Other (""childhood trauma"", ""relational trauma"", ""work-related trauma"", ""school-related trauma"")","Some Concerns","Lian AEZ, Chooi W-T, Bono SA. The development and the effectiveness of schema therapy on eMalaysian female young adults who experienced continuous trauma and post-traumatic stress disorder. European Journal of Trauma & Dissociation Vol 8(3), 2024, ArtID 100427. 2024 Sep;8(3). doi: 10.1016/j.ejtd.2024.100427.","1640928","2025"
"lindauer2005_A","lindauer2005","Psychotherapy","2005","PTSD","PTSD",,"24","A","12",,"BEP","Brief Eclectic Psychotherapy (BEP)","Following manual by Gersons et al. 2004, includes psychoeducation, imaginal exposure, writing tasks and memorabilia, meaning and integration, and farewell ritual","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"45 to 60 minutes","Weekly","16",,"Treatment completion",,,,,,,,,,,,"Not reported","Community","54.17%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (unspecified)","High","Lindauer RJ, Gersons BP, van Meijel EP, et al. Effects of brief eclectic psychotherapy in patients with posttraumatic stress disorder: randomized clinical trial. Journal of traumatic stress. 2005 Jun;18(3):205-12. doi: 10.1002/jts.20029. PMID: 16281214.","19181","2020"
"lindauer2005_B","lindauer2005","Psychotherapy","2005","PTSD","Inactive Control",,"24","B","12",,"Waitlist","Waitlist",,"No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"16",,"Treatment completion",,,,,,,,,,,,"Not reported","Community","54.17%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (unspecified)","High","Lindauer RJ, Gersons BP, van Meijel EP, et al. Effects of brief eclectic psychotherapy in patients with posttraumatic stress disorder: randomized clinical trial. Journal of traumatic stress. 2005 Jun;18(3):205-12. doi: 10.1002/jts.20029. PMID: 16281214.","19181","2020"
"lindley2007_A","lindley2007","Pharmacotherapy","2007","PTSD","PTSD",,"40","A","20",,"Topiramate","Topiramate","Anticonvulsant","No",,"Yes","Mood Stabilizer","No",,"No","No","No","No","No","Individual","In Person","25 to 100 mg (total daily dose 50 to 200 mg); titration: initiated at 25 mg twice a day and increased weekly by 50 mg/day as tolerated with maximum dose of 200 mg/day",,"Twice daily","7",,,,,,,,,,,,,,"Race and Ethnicity data reported","Veteran","0%","Combat-related",,"High","Lindley SE, Carlson EB, Hill K. A randomized, double-blind, placebo-controlled trial of augmentation topiramate for chronic combat-related posttraumatic stress disorder. J Clin Psychopharmacol. 2007 Dec;27(6):677-81. doi: 10.1097/jcp.0b013e31815a43ee. PMID: 18004136..","50965","2019"
"lindley2007_B","lindley2007","Pharmacotherapy","2007","PTSD","Inactive Control",,"40","B","20",,"Placebo","Placebo","Placebo","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,,"7",,,,,,,,,,,,,,"Race and Ethnicity data reported","Veteran","0%","Combat-related",,"High","Lindley SE, Carlson EB, Hill K. A randomized, double-blind, placebo-controlled trial of augmentation topiramate for chronic combat-related posttraumatic stress disorder. J Clin Psychopharmacol. 2007 Dec;27(6):677-81. doi: 10.1097/jcp.0b013e31815a43ee. PMID: 18004136..","50965","2019"
"littleton2016_A","littleton2016","Other study class","2016","PTSD","PTSD",,"87","A","46",,"From Survivor to Thriver","Internet-based facilitated self-help","Online interactive program providing psychoeducation, distress management strategies, healthy coping skills, and cognitive behavioral techniques through video, written description of skills, and written examples modeling the skills","No",,"No",,"No",,"No","No","No","Yes","No","Individual","Technology assisted",,,,"14",,"completed baseline online questionnaires and logged in to assigned program at least once",,,,,,,,,,,,"Race and Ethnicity data reported","Community","100%","Mixed","child sexual abuse, child physical abuse, rape/sexual assault, intimate partner violence","High","Littleton HL, Grills AE, Kline KD, et al. The From Survivor to Thriver program: RCT of an online therapist-facilitated program for rape-related PTSD. J Anxiety Disord. 2016 Oct;43:41-51. doi: 10.1016/j.janxdis.2016.07.010. PMID: 27513363.","45583","2019"
"littleton2016_B","littleton2016","Other study class","2016","PTSD","Active Control",,"87","B","41",,"Psychoeducation website","Psychoeducation","Written information providing same psychoeducation, distress management strategies, and healthy coping skills as From Survivor to Thriver program","No",,"No",,"No",,"No","No","Yes","Yes","No","Individual","Technology alone",,,,"14",,"completed baseline online questionnaires and logged in to assigned program at least once",,,,,,,,,,,,"Race and Ethnicity data reported","Community","100%","Mixed","child sexual abuse, child physical abuse, rape/sexual assault, intimate partner violence","High","Littleton HL, Grills AE, Kline KD, et al. The From Survivor to Thriver program: RCT of an online therapist-facilitated program for rape-related PTSD. J Anxiety Disord. 2016 Oct;43:41-51. doi: 10.1016/j.janxdis.2016.07.010. PMID: 27513363.","45583","2019"
"litz2007_A","litz2007","Other study class","2007","PTSD","PTSD",,"45","A","24",,"Internet-delivered self-management cognitive behavioral therapy","Internet-based self-help","Internet-based CBT teaching coping strategies through a series of homework assignments. Specific components were: self-monitoring of situations that triggered trauma-related distress; make hierarchy of triggers; stress management strategies; graduated self-guided in vivo exposure; online trauma writing sessions; review of progess, relapse prevention education.","No",,"No",,"No",,"No","No","No","Yes","No","Individual","Mixed",,,"ad lib access to website","8",,"See Detail",,"Unclear, study reports n=45 randomized and ""33 completed treatment"" but doesn't give numbers by arm (overall treatment completion rate 73.33%); table 1 has ""for completer study group"" in title but reports data for n=45 randomized",,,,"41.05","20.1","Mean times logged on",,,,"Not reported","Mixed","22.2%","Mixed","Combat-related; Terrorism/political violence/forced displacement","Some Concerns","Litz BT, Engel CC, Bryant RA, Papa A. A randomized, controlled proof-of-concept trial of an internet-based, therapist-assisted self-management treatment for posttraumatic stress disorder. Am J Psychiatry. 2007 Nov;164(11):1676-83. doi: 10.1176/appi.ajp.2007.06122057. PMID: 17974932.","30116","2024"
"litz2007_B","litz2007","Other study class","2007","PTSD","Active Control",,"45","B","21",,"Internet-delivered supportive counseling","Internet-based facilitated self-help","Internet-based supportive counseling asking participants to self-monitor non-trauma-related concerns and write about them; psychoeducation materials available but there was no skills training or prescriptions for proactive action; could request phone call from therapist, and therapist checked in by phone periodically; therapists were supportive and nondirective, focusing on non-trauma-related current concerns.","No",,"No",,"No",,"No","No","Yes","Yes","No","Individual","Mixed",,,"ad lib access to website","8",,"See Detail",,"Unclear, study reports n=45 randomized and ""33 completed treatment"" but doesn't give numbers by arm (overall treatment completion rate 73.33%); table 1 has ""for completer study group"" in title but reports data for n=45 randomized",,,,"23.63","17.52","Mean times logged on",,,,"Not reported","Mixed","22.2%","Mixed","Combat-related; Terrorism/political violence/forced displacement","Some Concerns","Litz BT, Engel CC, Bryant RA, Papa A. A randomized, controlled proof-of-concept trial of an internet-based, therapist-assisted self-management treatment for posttraumatic stress disorder. Am J Psychiatry. 2007 Nov;164(11):1676-83. doi: 10.1176/appi.ajp.2007.06122057. PMID: 17974932.","30116","2024"
"litz2012_A","litz2012","Psychotherapy & pharmacotherapy","2012","PTSD","PTSD",,"26","A","13",,"D-cycloserine + brief exposure therapy","Imaginal exposure +D-cycloserine","Partial NMDA receptor agonist, given 50 minutes before exposure therapy in sessions 2 through 5. Patients in both treatment arms received therapy; 4 of 6 total sessions included 50 minutes of imaginal exposure focused on most distressing war trauma memory.","Yes","Trauma-focused","Yes","Other pharmacotherapy","No",,"No","No","No","No","No","Individual","In Person","Session length: 60 to 90 minutes







Dose: 50 mg",,"Psychotherapy: NR







D-cycloserine: NR",,"Psychotherapy: 6 sessions total
D-cycloserine: 4 doses total, at sessions 2 through 5","Treatment completion",,,,,,,,,,,,"Race data reported","Veteran","0%","Combat-related",,"Low","Litz BT, Salters-Pedneault K, Steenkamp MM, et al. A randomized placebo-controlled trial of D-cycloserine and exposure therapy for posttraumatic stress disorder. J Psychiatr Res. 2012;46(9):1184-90. doi: 10.1016/j.jpsychires.2012.05.006. PMID: 22694905.","38885","2019"
"litz2012_B","litz2012","Psychotherapy & pharmacotherapy","2012","PTSD","Active Control",,"26","B","13",,"Placebo + brief exposure therapy","Imaginal exposure (experimental paradigm)","Placebo pill given 50 minutes before exposure therapy. Patients in both treatment arms received therapy; of 6 total sessions, four included 50-minute imaginal exposure focused on most distressing war trauma memory.","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person","Session length: 60 to 90 minutes







Dose: NA",,"Psychotherapy: 6 sessions, interval NR







Placebo: 4 doses, sessions 2 through 5",,"Psychotherapy: 6 sessions total
Placebo: 4 doses total, at sessions 2 through 5","Treatment completion",,,,,,,,,,,,"Race data reported","Veteran","0%","Combat-related",,"Low","Litz BT, Salters-Pedneault K, Steenkamp MM, et al. A randomized placebo-controlled trial of D-cycloserine and exposure therapy for posttraumatic stress disorder. J Psychiatr Res. 2012;46(9):1184-90. doi: 10.1016/j.jpsychires.2012.05.006. PMID: 22694905.","38885","2019"
"litz2021_A","litz2021","Psychotherapy","2021","PTSD","PTSD",,"122","A","62",,"Adaptive Disclosure","Adaptive Disclosure (AD)","Manualized trauma-focused psychotherapy that targets danger-loss- and moral injury-related trauma using different experiental strategies. Expanded number of treatments for this study from 6 sessions to 8 sessions to equilibrate treatment hours for both interventions","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly","8","expanded treatment duration so that treatment hours were equivalent for both groups (Adaptive Disclosure designed to be 6 sessions)","Did not drop out of treatment (did not miss last treatment session)",,,,,,,,"""Patients in the AD arm attended a mean of 75% of the eight sessions""",,,,"Race data reported","Active Duty Military","8.3%",,,"High","Litz BT, Rusowicz-Orazem L, Doros G, Grunthal B, Gray M, Nash W, Lang AJ. Adaptive disclosure, a combat-specific PTSD treatment, versus cognitive-processing therapy, in deployed marines and sailors: A randomized controlled non-inferiority trial. Psychiatry Res. 2021 Mar;297:113761. doi: 10.1016/j.psychres.2021.113761. Epub 2021 Jan 24. PMID: 33540206.","1564968","2022"
"litz2021_B","litz2021","Psychotherapy","2021","PTSD","PTSD",,"122","B","60",,"Cognitive Processing Therapy-Cognitive Therapy","Cognitive Processing Therapy (CPT)","Trauma-focused cognitive therapy, omitting written trauma narrative in CPT","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes","Weekly","12",,"Did not drop out of treatment (did not miss last treatment session)",,,,,,,,"""patients in the CPT-C arm attended a mean of 71% of the twelve sessions""",,,,"Race data reported","Active Duty Military","8.3%",,,"High","Litz BT, Rusowicz-Orazem L, Doros G, Grunthal B, Gray M, Nash W, Lang AJ. Adaptive disclosure, a combat-specific PTSD treatment, versus cognitive-processing therapy, in deployed marines and sailors: A randomized controlled non-inferiority trial. Psychiatry Res. 2021 Mar;297:113761. doi: 10.1016/j.psychres.2021.113761. Epub 2021 Jan 24. PMID: 33540206.","1564968","2022"
"litz2024_A","litz2024","Psychotherapy","2024","PTSD","PTSD",,"174","A","89",,"Adaptive Disclosure-Enhanced","Adaptive Disclosure (AD)","Manualized treatment focusing on addressing traumatic loss and moral injury. Modifications for enhanced version of adaptive disclosure included: a ""compassion history assessment"", letter-writing as a change agent, loving-kindness meditation and mindfulness training, using a personlized recovery/rehabilitation approach, and a ""Healing & Repair Plan"" for activities outside of therapy (e.g. self-care and in vivo exposure).","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly","12","12 sessions total","Completed all 12 sessions within 16 weeks or early completer (therapist assessed)",,"Completed 12 sessions: 62.92%
Completed ≥8 sessions: 75.28%",,,,"9.24","4.25",,,,,"Race and Ethnicity data reported","Veteran","21.3%",,,"Low","Litz BT, Yeterian J, Berke D, et al. A controlled trial of adaptive disclosure-enhanced to improve functioning and treat posttraumatic stress disorder. J Consult Clin Psychol. 2024 Mar;92(3):150-64. doi: 10.1037/ccp0000873. PMID: 38358703.","1630850","2024"
"litz2024_B","litz2024","Psychotherapy","2024","PTSD","Active Control",,"174","B","85",,"PCT","Present-Centered Therapy (PCT)","Manualized therapy including empathic reflective listening, discussion of patient's life stressors and issues, and homework using adpative responses to stressors. Discussion of traumatic events not allowed.","Yes","Non-Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"90 minutes","Weekly","12","12 sessions total","Completed all 12 sessions within 16 weeks or early completer (therapist assessed)",,"Completed 12 sessions: 58.82%
Completing ≥8 sessions: 71.76%",,,,"9.07","4.2",,,,,"Race and Ethnicity data reported","Veteran","21.3%",,,"Low","Litz BT, Yeterian J, Berke D, et al. A controlled trial of adaptive disclosure-enhanced to improve functioning and treat posttraumatic stress disorder. J Consult Clin Psychol. 2024 Mar;92(3):150-64. doi: 10.1037/ccp0000873. PMID: 38358703.","1630850","2024"
"liu2019_A","liu2019","Psychotherapy","2019","PTSD","PTSD",,"207","A","103",,"CPT by videoconference","Cognitive Processing Therapy (CPT)","Participant used videoconference equipment at a community-based outpatient clinic and the therapist was located at another VA site. CPT followed manual used by the VA (for CPT-C or cognitive-only version) which doesn't include written account of the trauma. ""Per protocol, participants were educated about PTSD symptoms, cognitive theory, and treatment goals; wrote about how traumatic experiences have influenced thoughts and beliefs about themselves, others, and the world; identified problematic thoughts (‘stuck points’) related to the traumatic event; learned how these thoughts influence emotions; and learned to challenge distorted thoughts and identify more balanced alternative thoughts.""","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","Video",,"60 minutes","Weekly","12",,"completed ≥9 sessions",,,,,,"8.9","4.5",,,,,"Race and Ethnicity data reported","Veteran","22.6%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, other (unspecified type of child abuse, ""unexpected death"", ""others"")","Some Concerns","Liu L, Thorp SR, Moreno L, et al. Videoconferencing psychotherapy for veterans with PTSD: results from a randomized controlled non-inferiority trial. J Telemed Telecare. 2019 Jun 19doi: 10.1177/1357633X19853947. PMID: 31216210.","52097","2020"
"liu2019_B","liu2019","Psychotherapy","2019","PTSD","PTSD",,"207","B","104",,"CPT in person","Cognitive Processing Therapy (CPT)","In-person CPT; therapy followed manual used by the VA (for CPT-C or cognitive-only version) which doesn't include written account of the trauma. ""Per protocol, participants were educated about PTSD symptoms, cognitive theory, and treatment goals; wrote about how traumatic experiences have influenced thoughts and beliefs about themselves, others, and the world; identified problematic thoughts (‘stuck points’) related to the traumatic event; learned how these thoughts influence emotions; and learned to challenge distorted thoughts and identify more balanced alternative thoughts.""","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 minutes","Weekly","12",,"completed ≥9 sessions",,,,,,"9.7","4",,,,,"Race and Ethnicity data reported","Veteran","22.6%","Mixed","combat-related, rape/sexual assault, accidents, community/school violence, other (unspecified type of child abuse, ""unexpected death"", ""others"")","Some Concerns","Liu L, Thorp SR, Moreno L, et al. Videoconferencing psychotherapy for veterans with PTSD: results from a randomized controlled non-inferiority trial. J Telemed Telecare. 2019 Jun 19doi: 10.1177/1357633X19853947. PMID: 31216210.","52097","2020"
"ludascher2015_A","ludascher2015","Pharmacotherapy","2015","PTSD","PTSD",,"30","A","30",,"Hydrocortisone","Hydrocortisone","Corticosteroid; placebo first week, 10 mg hydrocortisone second week, placebo third week, 30 mg hydrocortisone fourth week","No",,"Yes","Steroids","No",,"No","No","No","No","No","Individual","In Person","10 mg",,"Once daily","4","each dose taken for 1 week, followed by placebo for 1 week",,,,,,,,,,,,,"Not reported","Community","100%","Mixed","child sexual abuse, rape/sexual assault, child physical abuse, child other abuse","Some Concerns","Ludascher P, Schmahl C, Feldmann RE, Jr., et al. No evidence for differential dose effects of hydrocortisone on intrusive memories in female patients with complex post-traumatic stress disorder--a randomized, double-blind, placebo-controlled, crossover study. J Psychopharmacol. 2015 Oct;29(10):1077-84. doi: 10.1177/0269881115592339. PMID: 26152322.","49607","2019"
"ludascher2015_B","ludascher2015","Pharmacotherapy","2015","PTSD","PTSD",,"30","B","30",,"Hydrocortisone","Hydrocortisone","Corticosteroid; 30 mg hydrocortisone first week, placebo second week, 10 mg hydrocortisone third week, placebo fourth week","No",,"Yes","Steroids","No",,"No","No","No","No","No","Individual","In Person","30 mg",,"Once daily","4","each dose taken for 1 week, followed by placebo for 1 week",,,,,,,,,,,,,"Not reported","Community","100%","Mixed","child sexual abuse, rape/sexual assault, child physical abuse, child other abuse","Some Concerns","Ludascher P, Schmahl C, Feldmann RE, Jr., et al. No evidence for differential dose effects of hydrocortisone on intrusive memories in female patients with complex post-traumatic stress disorder--a randomized, double-blind, placebo-controlled, crossover study. J Psychopharmacol. 2015 Oct;29(10):1077-84. doi: 10.1177/0269881115592339. PMID: 26152322.","49607","2019"
"ludascher2015_C","ludascher2015","Pharmacotherapy","2015","PTSD","Active Control",,"30","C","30",,"Placebo","Placebo",,"No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Once daily","4",,,,,,,,,,,,,,"Not reported","Community","100%","Mixed","child sexual abuse, rape/sexual assault, child physical abuse, child other abuse","Some Concerns","Ludascher P, Schmahl C, Feldmann RE, Jr., et al. No evidence for differential dose effects of hydrocortisone on intrusive memories in female patients with complex post-traumatic stress disorder--a randomized, double-blind, placebo-controlled, crossover study. J Psychopharmacol. 2015 Oct;29(10):1077-84. doi: 10.1177/0269881115592339. PMID: 26152322.","49607","2019"
"maguen2017_A","maguen2017","Psychotherapy","2017","PTSD","PTSD",,"33","A","17",,"Impact of Killing","Impact of Killing","Cognitive-behavioral intervention incorporating self-forgiveness, existential, gestalt, and relational theories to reduce mental health symptoms and functional impairment associated with killing in a war.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 to 90 minutes","Weekly","6 to 8",,"Full participation in all content outlined in 6 sessions, completion of all between-session assignments, and completion of outcome measures",,,,,,,,,,,,"Race and Ethnicity data reported","Veteran","0%","Combat-related",,"High","Maguen S, Burkman KM, Madden E, et al. Impact of killing in war: a randomized, controlled pilot trial. J Clin Psychol. 2017 Sep;73(9):997-1012. doi: 10.1002/jclp.22471. PMID: 28294318.","47285","2019"
"maguen2017_B","maguen2017","Psychotherapy","2017","PTSD","Inactive Control",,"33","B","16",,"Waitlist","Waitlist","While on waitlist could engage in TAU, including medication management, brief case management visits, and supportive group psychotherapy. Participants were prohibited from enrolling in individual psychotherapy or cognitive-behaviorally based group psychotherapy.","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"6",,,,,,,,,,,,,,"Race and Ethnicity data reported","Veteran","0%","Combat-related",,"High","Maguen S, Burkman KM, Madden E, et al. Impact of killing in war: a randomized, controlled pilot trial. J Clin Psychol. 2017 Sep;73(9):997-1012. doi: 10.1002/jclp.22471. PMID: 28294318.","47285","2019"
